127.0.0.1 - - [31/Jan/2025:16:39:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:39:32 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:39:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:43:04 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:43:16 +0530] "POST /Shivamjsp/ HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:48:40 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:48:49 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:48:55 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:49:03 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:49:12 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:49:14 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:52:18 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:54:59 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:55:10 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:55:14 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:56:23 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [31/Jan/2025:16:56:25 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:13:32 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:13:38 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:15:01 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:15:06 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:15:14 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:15:16 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:17:41 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:17:43 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:17:52 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:17:54 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:18:03 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:18:08 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:18:16 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:21:10 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:21:12 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:21:25 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:21:28 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:21:40 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:22:01 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:23:07 +0530] "POST /Shivamjsp/result.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:23:10 +0530] "GET /Shivamjsp/index.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:23:15 +0530] "GET /Shivamjsp/ HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:26:16 +0530] "GET /DoaMVC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2025:19:26:50 +0530] "GET /HelloWordServlet/ HTTP/1.1" 304 -
